Αττική-Περιστέρι,,23.67651,38.01242,,Περιστέρι Αττικής,Τζών Κέννεντυ,200
Αττική-Περιστέρι,,23.6839,38.01266,,Περιστέρι Αττικής,Πελασγίας,35
Αττική-Περιστέρι,,23.69229,38.02238,,Περιστέρι Αττικής,Ανδρίτσαινης,23
Αττική-Περιστέρι,,23.69604,38.01087,,Περιστέρι Αττικής,Ακροπόλεως,11
Αττική-Περιστέρι,,23.70159,38.00701,,Περιστέρι Αττικής,Κύπρου,14
Αττική-Περιστέρι,,23.70497,38.00962,,Περιστέρι Αττικής,Κύπρου,49
Αττική-Περιστέρι,,23.67516,38.01387,,Περιστέρι Αττικής,Πελασγίας,133
Αττική-Περιστέρι,,23.67691,38.01222,,Περιστέρι Αττικής,Μανιακίου,4
Αττική-Περιστέρι,,23.68362,38.00659,,Περιστέρι Αττικής,Τζών Κέννεντυ,99
Αττική-Περιστέρι,,23.70818,38.01444,,Περιστέρι Αττικής,Διονυσίου Σολωμού,44
Αττική-Περιστέρι - DRINK BANK,Τηλ. 2105765217 (GMap),23.69914,38.01759,12132,Περιστέρι,Αριστοτέλους,82
Αττική-Περιστέρι Touris Nuts,,23.70525,38.00658,,Περιστέρι Αττικής,25ης Μαρτίου,118
Αττική-Περιστέρι Ξηροφρούτ,,23.70405,38.00745,,Περιστέρι Αττικής,25ης Μαρτίου,79
Αττική-Περιστέρι Πρόποσις,,23.70219,38.01595,,Περιστέρι Αττικής,Λεωφόρος Κωνσταντινουπόλεως,138
Αττική-Περιστέρι Στάχυ και Μέλι,,23.68114,38.02046,,Περιστέρι Αττικής,Καρυάτιδος,72
Αττική-Περιστέρι Το Αραπάκι,,23.68045,38.00926,,Περιστέρι Αττικής,Τζών Κέννεντυ,152
Αττική-Περιστέρι Το Κελάρι,,23.69474,38.01246,,Περιστέρι Αττικής,Εθνικής Αντιστάσεως,2
Αττική-Πετρούπολη,,23.676741,38.035741,,Πετρούπολη Αττικής,28ης Οκτωμβρίου και Περικλέους,
Αττική-Πετρούπολη - ΜΠΑΚΟΣ ΒΑΣΙΛΕΙΟΣ,Τηλ. 2105013516 (GMap),23.68481,38.04337,13231,Πετρούπολη,Δωδεκανήσου,82
Αττική-Πετρούπολη Λιακωτό,,23.68745,38.04002,,Πετρούπολη Αττικής,Κώστα Βάρναλη,92
Αττική-Πεύκη Cavino,,23.7929,38.05575,,Πεύκη Αττικής,Χρυσοστόμου Σμύρνης,37
Αττική-Ριζούπολη,,23.74785,38.02325,,Ριζούπολη Αττικής,Ιωάννου Φωκά και Συρακούσων,
Αττική-Χαιδάρι,,23.66065,38.00713,,Χαιδάρι Αττικής,Αγωνιστών Στρατοπέδου Χαιδαρίου,43
Αττική-Χαιδάρι,,23.66134,38.00912,,Χαιδάρι Αττικής,Αγωνιστών Στρατοπέδου Χαιδαρίου,69
Αττική-Χαλάνδρι - ALL ABOUT WHISKY,Τηλ. 2106856616 - Φαξ 2106856616 (GMap),23.80263,38.02014,15234,Χαλάνδρι,Αγίας Παρασκευής,55
Αττική-Χαλάνδρι - HOUSE OF WINE.GR,Τηλ. 2106773315 (GMap),23.79299,38.01008,15231,Χαλάνδρι,Ιθώμης,26
Αττική-Χαλάνδρι - TRESOR,Τηλ. 2106845077 (GMap),23.80017,38.02287,15233,Χαλάνδρι,Κώστα Βάρναλη,2
Αττική-Χολαργός - ΚΕΛΑΡΙ ΔΩΡΩΝ,Τηλ. 2106532055 - Φαξ 2106522655 (GMap),23.79565,38.00534,15561,Χολαργός,Μεσογείων,244
Αχαια-Πάτρα - KABA ΛΥΜΠΕΡΟΠΟΥΛΟΣ ΜΟΝΟΠΡΟΣΩΠΗ ΕΕ,Τηλ. 2610421046 (GMap),21.75545,38.27136,26442,Πάτρα,Εμμανουήλ Ροΐδη,76
Αχαια-Πάτρα - ΒΟΥΚΕΛΑΤΟΥ ΕΥΡΩΠΙΑ Ν.,Τηλ. 2610310291 (GMap),21.73276,38.24298,26222,Πάτρα,Κανακάρη,190
Αχαια-Πάτρα - ΡΩΜΑΝΟΥ ΧΑΡΗ ΥΙΟΙ ΕΠΕ,Τηλ. 2610270670 (GMap),21.73603,38.24964,26221,Πάτρα,Κολοκοτρώνη,5
